queueLength:vector Net.sys (#0 - Net1-0-20230829-18:31:09-1522),
7.52323296914,1
7.7149537298,1
8.110816246514,0
8.592647628543,0
10.504496836771,0
13.46875386385,0
16.374984467803,0
24.674098098433,0
25.456796661257,0
26.587091565491,0
27.233800315523,0
27.542267314849,0
28.01414135249,0
39.240890419207,0
56.821254217979,0
63.87518565726,0
64.244817447932,1
64.264411342414,0
73.557399522602,0
80.729902992891,2
80.795801923894,1
80.955086401365,0
86.096859045752,0
86.534883819666,0
88.451416375924,0
99.244250381742,0
